Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Northumberland Avenue,Westminster,530288.490,180330.720,51.50689,-0.12408507
Butler Place,Westminster,529531.225,179313.999,51.497925,-0.13535948
Howland Street,Camden,529212.827,181872.491,51.520994,-0.13901554
South Kensington Station,K&C,526871.130,178855.660,51.494411,-0.17382299
Oval Way,Lambeth,530818.290,178083.320,51.486575,-0.11728504
Macclesfield Road,Islington,532093.010,182886.940,51.529441,-0.097135189
Vauxhall Street,Lambeth,530854.046,178153.980,51.487196,-0.11674094
Queen's Gate,Royal Parks,526435.477,179658.216,51.501725,-0.17981265
Crosswall,City,533532.340,180937.710,51.511588,-0.077140892
Grosvenor Square,Westminster,528440.370,180870.500,51.512166,-0.15050119
Lower Marsh,Lambeth,531010.650,179597.350,51.500136,-0.11395989
Horse Guards Avenue,Westminster,530350.660,180115.200,51.504944,-0.12327163
Ampton Street,Camden,530630.490,182607.790,51.527274,-0.11831693
Southampton Place,Camden,530447.710,181526.590,51.517602,-0.12135326
Queen Victoria Street,City,532121.280,180941.660,51.511956,-0.097460371
Bank of England Museum,City,532797.840,181235.220,51.514439,-0.087614034
Warwick Road,K&C,524679.820,179056.820,51.496705,-0.20531086
Finsbury Square,Islington,532914.390,181963.950,51.520954,-0.085654625
Campden Hill Road,K&C,525088.740,180165.360,51.506581,-0.19902921
Pont Street,K&C,527739.050,179152.130,51.496885,-0.16121899
Empire Square,Southwark,532687.960,179716.970,51.500815,-0.089769352
Albert Embankment,Lambeth,530422.630,178502.440,51.490432,-0.12283049
Baker Street,Westminster,528026.980,181610.410,51.51891,-0.1561953
Grafton Street,Westminster,528931.260,180640.570,51.509987,-0.14351362
Waterloo Place,Westminster,529754.160,180287.750,51.506626,-0.13179083
Broadwick Street,Westminster,529469.990,181065.130,51.513683,-0.13560959
Bourne Street,Westminster,528303.170,178497.380,51.490871,-0.15333659
Frampton Street,Westminster,526699.990,182071.190,51.523352,-0.17514484
Gloucester Terrace,Westminster,525814.320,181444.500,51.517914,-0.18811806
Chadwell Street,Islington,531445.700,182988.800,51.530509,-0.10643325
Cleveland Gardens,Westminster,526166.220,181195.940,51.515598,-0.1831367
London Zoo,Royal Parks,527994.990,183502.410,51.53592,-0.1559694
St. Chad's Street,Camden,530436.760,182911.990,51.53005,-0.12099941
Cartwright Gardens,Camden,530100.110,182491.470,51.526354,-0.12599546
Brunswick Square,Camden,530348.160,182230.040,51.523951,-0.12251907
Guilford Street,Camden,530509.420,182166.890,51.523339,-0.1202234
Bayley Street,Camden,529700.830,181616.600,51.518582,-0.13207997
Scala Street,Camden,529420.510,181757.110,51.519913,-0.13606147
Belgrove Street,Camden,530253.760,182894.420,51.52994,-0.12364234
Hampstead Road (Cartmel),Camden,529197.050,182882.410,51.530074,-0.13886155
Wormwood Street,City,533151.220,181435.120,51.516153,-0.082440018
Northington Street,Camden,530937.290,182057.430,51.52226,-0.11409823
Hatton Wall,Camden,531290.960,181999.470,51.521657,-0.10903474
Holborn Circus,Camden,531352.000,181582.000,51.517895,-0.10829691
Red Lion Square,Camden,530595.470,181733.860,51.519428,-0.11914484
Theobald's Road,Camden,530761.070,181867.360,51.520593,-0.11670402
Drury Lane,Camden,530393.970,181209.620,51.514765,-0.12224824
Earnshaw Street,Camden,529948.480,181348.220,51.516117,-0.12860642
Gower Place,Camden,529464.500,182349.440,51.525223,-0.13521033
Longford Street,Camden,528846.410,182374.620,51.525589,-0.14410443
Drummond Street,Camden,529451.500,182628.280,51.527734,-0.13529518
Endsleigh Gardens,Camden,529784.860,182536.830,51.526831,-0.13053144
Bedford Way,Camden,529941.380,182188.650,51.523667,-0.12839779
Taviton Street,Camden,529744.380,182336.930,51.525042,-0.13118131
Russell Square Station,Camden,530237.340,182167.880,51.52341,-0.1241414
British Museum,Camden,530211.090,181684.460,51.519076,-0.12469427
Hatton Garden,Camden,531366.950,181685.890,51.518818,-0.10805689
Tavistock Place,Camden,530271.730,182483.890,51.526242,-0.12353486
Pancras Road,Camden,529841.660,183348.980,51.534115,-0.12941116
Doric Way,Camden,529658.080,182755.670,51.528828,-0.13226618
Eversholt Street,Camden,529331.200,183211.540,51.533,-0.13681016
Warren Street Station,Camden,529270.360,182256.690,51.524432,-0.13803929
West Smithfield Rotunda,City,531870.820,181631.408,51.518215,-0.10081738
Bouverie Street,City,531388.330,181129.550,51.513816,-0.10794707
Godliman Street,City,532001.830,180996.720,51.512478,-0.099168036
Stonecutter Street,City,531566.990,181355.500,51.515806,-0.10529913
Newgate Street,City,532013.510,181323.530,51.515414,-0.098872864
Golden Lane,City,532298.790,182035.260,51.521746,-0.094500957
Museum of London,City,532169.890,181594.980,51.517813,-0.096524458
Moorfields,City,532735.970,181748.600,51.519064,-0.088313982
Finsbury Circus,City,532852.760,181529.750,51.517069,-0.086711177
Queen Street,City,532434.820,180904.360,51.51155,-0.092966448
The Guildhall,City,532412.940,181369.170,51.515734,-0.093108788
Wood Street,City,532353.430,181509.240,51.517006,-0.09390605
Aldersgate Street,City,532102.650,181929.320,51.520839,-0.097364052
Devonshire Square,City,533340.260,181474.990,51.516459,-0.079703082
Great Tower Street,City,533128.380,180803.600,51.510479,-0.083009741
Old Street Station,Islington,532702.700,182488.500,51.525722,-0.088510869
West Cromwell Road,K&C,525173.730,178736.490,51.49372,-0.19831165
Breams Buildings,City,531115.080,181357.980,51.515928,-0.11179427
Appold Street,City,533225.360,182059.030,51.521744,-0.081138505
St. Mary Axe,City,533279.120,181223.750,51.514218,-0.0806765
Jewry Street,City,533549.800,181139.820,51.5134,-0.076819613
Windsor Terrace,Hackney,532350.410,182860.800,51.529147,-0.093442232
Fanshaw Street,Hackney,533047.650,182921.600,51.529532,-0.083377324
Shoreditch Park,Hackney,532824.630,183417.170,51.534041,-0.08640327
Murray Grove,Hackney,532597.780,183060.430,51.530887,-0.089808389
New North Road,Hackney,532861.670,183094.770,51.53113,-0.0859919
East Road,Hackney,532765.360,182818.100,51.528672,-0.08747901
New Inn Yard,Hackney,533347.020,182371.930,51.524519,-0.07926313
Falkirk Street,Hackney,533379.780,183087.620,51.530945,-0.078531268
Christopher Street,Hackney,532984.810,182001.530,51.521279,-0.084631967
Leonard Circus,Hackney,532986.420,182381.310,51.524693,-0.084459859
Sun Street,Hackney,533036.680,181861.940,51.520009,-0.083935724
Wenlock Road,Hackney,532311.640,183064.250,51.53099,-0.09392755
Stamford Street,Lambeth,531156.740,180205.310,51.505566,-0.11163187
Calshot Street,Islington,530703.800,183063.650,51.531355,-0.11709616
Rodney Street,Islington,530892.740,183113.880,51.53176,-0.11435443
Risinghill Street,Islington,531070.620,183293.010,51.533337,-0.11172281
River Street,Islington,531202.520,182832.020,51.529163,-0.10999244
Finsbury Library,Islington,531603.010,182570.250,51.526716,-0.10431284
Sadlers Sports Centre,Islington,531941.910,182373.280,51.524866,-0.099517108
Goswell Road (City Uni),Islington,531825.570,182746.060,51.528245,-0.10104875
Farringdon Lane,Islington,531331.830,182207.370,51.523517,-0.10836667
Bunhill Row,Islington,532619.600,181944.700,51.520853,-0.089911168
Clerkenwell Green,Islington,531584.480,182184.980,51.523251,-0.10473061
Finsbury Leisure Centre,Islington,532158.640,182505.710,51.526002,-0.096341522
Great Percy Street,Islington,530821.020,182794.610,51.52891,-0.11549581
Tysoe Street,Islington,531259.840,182530.820,51.526436,-0.10928364
Milroy Walk,Southwark,531524.530,180401.240,51.507242,-0.10625962
Hop Exchange,Southwark,532535.830,180136.320,51.504625,-0.09180025
Bankside Mix,Southwark,531948.570,180253.480,51.505813,-0.10020913
Turquoise Island,K&C,524939.880,181021.930,51.514307,-0.20087194
Chepstow Villas,K&C,524896.540,180778.450,51.512133,-0.20157731
Pembridge Villas,K&C,525179.060,180668.300,51.511082,-0.19754032
Notting Hill Gate Station,K&C,525262.070,180478.320,51.509356,-0.19641234
Palace Gardens Terrace,K&C,525446.830,180399.050,51.508605,-0.19379046
Vicarage Gate,K&C,525542.520,179969.490,51.504719,-0.19256083
